age,sex,exp,medians,junction,surface,light,weather,collision,car_movement,acc_cause,severity
18-30,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the right,2
18-30,Male,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,2
18-30,Male,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Entering a junction,Moving Backward,2
18-30,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,Driving carelessly,2
Unknown,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driving to the left,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driving to the left,2
Unknown,Male,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,No priority to pedestrian,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Other,Changing lane to the left,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Under 18,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Rollover,Other,No distancing,2
18-30,Male,1-2yr,other,Y Shape,Asphalt roads,Daylight,Cloudy,Rollover,Going straight,Getting off the vehicle improperly,2
18-30,Male,1-2yr,other,Y Shape,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Going straight,Driving under the influence of drugs,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Turnover,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Changing lane to the right,2
18-30,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Driving carelessly,1
Unknown,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Under 18,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Under 18,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Overturning,1
Unknown,Male,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
18-30,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Male,1-2yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Male,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Unknown,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
Under 18,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Changing lane to the left,2
31-50,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Under 18,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,2
31-50,Male,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Female,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Male,5-10yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,2-5yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
Unknown,Male,5-10yr,Unknown,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
Under 18,Male,Above 10yr,Double carriageway (median),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Other,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
31-50,Male,2-5yr,Unknown,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,No priority to pedestrian,2
31-50,Male,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,No priority to vehicle,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Changing lane to the left,2
Unknown,Female,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Going straight,Overtaking,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,2
Unknown,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
18-30,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Male,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Unknown,Male,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Moving Backward,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Rollover,Going straight,No distancing,2
31-50,Male,Above 10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
Over 51,Male,Unknown,One way,Y Shape,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Male,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Under 18,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving under the influence of drugs,2
Over 51,Male,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Unknown,Female,2-5yr,Undivided Two way,Other,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,2
18-30,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
31-50,Male,2-5yr,Double carriageway (median),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,1-2yr,Undivided Two way,No junction,Unknown,Daylight,Raining,Vehicle with vehicle collision,Other,Driving carelessly,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,No priority to vehicle,2
31-50,Male,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Male,2-5yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Female,Below 1yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Female,Unknown,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Over 51,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
31-50,Male,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the left,2
Over 51,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Over 51,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Female,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Unknown,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Unknown,Female,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Female,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,2
Unknown,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Driving to the left,2
Under 18,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads with some distress,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,Overtaking,2
Over 51,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Unknown,Going straight,No priority to pedestrian,2
Over 51,Male,No Licence,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Unknown,Unknown,Moving Backward,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Unknown,Moving Backward,Changing lane to the right,2
31-50,Male,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Changing lane to the left,2
31-50,Male,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Over 51,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving under the influence of drugs,1
Over 51,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,No priority to vehicle,1
18-30,Male,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
31-50,Male,Below 1yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Overtaking,2
Unknown,Male,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Unknown,Female,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,5-10yr,Undivided Two way,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,2-5yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Overturning,2
Under 18,Male,5-10yr,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Moving Backward,2
Over 51,Male,2-5yr,Unknown,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,2-5yr,One way,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No priority to vehicle,2
Unknown,Male,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Overtaking,2
18-30,Male,Unknown,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving under the influence of drugs,2
Over 51,Male,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
Under 18,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Under 18,Male,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Unknown,Female,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,2-5yr,other,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Driving at high speed,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,5-10yr,One way,Crossing,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,One way,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
Unknown,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Male,5-10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Unknown,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Driving under the influence of drugs,2
Unknown,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No priority to vehicle,2
31-50,Male,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,2-5yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
31-50,Male,Below 1yr,Unknown,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Getting off the vehicle improperly,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Male,Above 10yr,other,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Under 18,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,2
Unknown,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the left,2
18-30,Male,5-10yr,One way,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Over 51,Male,1-2yr,Undivided Two way,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Female,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,2
31-50,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
Over 51,Male,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Male,Above 10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Unknown,Female,No Licence,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,1-2yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Changing lane to the right,2
Unknown,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driving to the left,2
Unknown,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Moving Backward,2
Unknown,Male,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,No priority to vehicle,2
Unknown,Female,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Driving carelessly,2
Over 51,Male,Above 10yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Male,Unknown,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving to the left,1
Under 18,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
18-30,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
